"","state","pop","pop.delta","urban","undeveloped","ag","urban.delta","undeveloped.delta","ag.delta","fertilizer","fertilizer.delta","feed","feed.delta"
"16","LA",-0.389974557212527,-0.512633541379359,-0.094878620766709,-0.295482850310986,-0.061571686541224,0.251237553999869,1.70988441013252,-0.768506430733041,-0.173508385705256,-0.307666600832461,-0.465093268864441,-0.826214195157464
"17","MA",2.37546274286403,2.7322995002995,2.80989787737777,-0.297653336276808,-1.10157844243207,1.84750070068073,-0.172786060576055,-0.272249307713556,-0.821668499282103,-0.848385941923562,-0.561880900175283,-0.573165823136216
"18","MD",1.45421770952731,1.47019609038548,0.897583738741555,-0.516656851508184,0.168805387819538,1.07059407467586,0.28751640833331,-0.715124550079136,0.400928955717355,0.0557850158037809,0.722922021783214,0.514408724115709
"19","ME",-0.637745781298749,-0.689278242129266,-0.660299163208432,-0.0441242820127349,-1.15615395494564,-0.901940081761371,0.589066106502087,-0.170808327997397,-1.03042317159588,-0.971185937871863,-0.651573947552081,-0.602479450044283
"20","MI",-0.0729708858627782,-0.572375250899215,0.30172746933041,-0.291311306192737,0.131322469297327,-0.394748257792929,0.466207263395542,-0.18478176901234,0.186986112987484,0.0795694285523517,-0.293031374462843,0.733361125289619
"21","MN",-0.52849294037387,-0.370956883088814,-0.476621520564282,-0.478484738640882,1.29888977596665,-0.446511750379636,0.749594099786936,-0.344276753859371,0.851846424239202,1.05634321328607,0.0837099885753649,0.680219626238526
"22","MO",-0.462560130948905,-0.555532514312176,-0.34972755726974,-0.57286483916007,1.4181418777758,-0.540913877089173,0.842755136458279,-0.65149893883165,0.239929595530321,0.658846736307635,-0.110159691057229,-0.0442611267592787
"23","MS",-0.551228336212013,-0.714485753478272,-0.527593665921838,-0.27536040738874,0.0653929283569068,-0.329244833929821,1.69415015058457,-1.11247344426337,-0.0684358073424496,-0.622065290116172,0.27792749292295,-1.74769874356711
"24","MT",-0.764997209315867,-0.667343712314239,-0.95871083542677,0.303870835228895,-0.208203406214966,-1.33718270321946,-2.4668148166973,2.95296212806357,-0.822707723166761,-0.57532873791804,-0.67292654407726,-0.317822904965914
"25","NC",-0.0116479158648194,0.904605476191605,0.016381325865987,-0.285639306147116,-0.155064257050314,0.832358009912301,0.152024316737823,-0.64938651272441,0.180657384530561,0.134509021322168,1.41514285010701,-0.697347206340425
"26","ND",-0.764648169141342,-0.625126165389397,-0.900784203734945,-0.599428153721755,1.70890315754169,-0.575327994901668,-3.55851894851131,2.78043683278287,0.514899616375957,0.851034721356304,-0.667964286173543,-0.335648452767677
"27","NE",-0.712181429790751,-0.619144243020718,-0.811394693905656,-0.396426517382951,0.639576259414916,-1.01742671789127,-1.35325049546651,1.65741641412641,0.593699717406356,1.15328638830193,0.0898612529758089,1.40089115487894
"28","NH",-0.167056579891371,-0.298140181611802,0.11540930466817,0.0526594485108183,-1.16252606260514,0.030608429875795,0.35945035506079,-0.2567702946559,-1.08922767181009,-1.02255128211544,-0.62016099959575,-0.493963961877576
"29","NJ",3.76148208003096,0.239519282295115,2.85285686248011,-0.451239132164617,-0.630079826680508,1.87962475193608,0.024421157066975,-0.699258959412288,-0.164371742862995,0.102554373004541,-0.565701050835203,-0.432553615215428
