"date","state","tn","tn.flag","tn.qa.flag","tp","tp.flag","tp.qa.flag","site.type","lat","lon","siteID","weight"
2007-06-12,"AZ",481,NA,NA,19,NA,NA,"PROB_Lake",34.2455815,-113.5793644,"NLA06608-0061",1.2014631
2007-08-22,"AZ",562,NA,NA,16,NA,NA,"PROB_Lake",34.2455815,-113.5793644,"NLA06608-0061",1.2014631
2007-08-09,"ND",2834,NA,NA,152,NA,NA,"PROB_Lake",47.3206799,-99.74629427,"NLA06608-0062",19.9472215
2007-08-27,"ND",2813,NA,NA,120,NA,NA,"PROB_Lake",47.3206799,-99.74629427,"NLA06608-0062",19.9472215
2007-06-18,"MT",3366,NA,NA,2047,NA,NA,"PROB_Lake",48.8940613,-112.1680165,"NLA06608-0064",5.4419336
2007-08-26,"MT",3663,NA,NA,1331,NA,NA,"PROB_Lake",48.8940613,-112.1680165,"NLA06608-0064",5.4419336
2007-07-17,"MT",71,NA,NA,1,NA,NA,"PROB_Lake",48.9624338,-115.116608,"NLA06608-0065",7.594532
2007-09-12,"MT",55,NA,NA,3,NA,NA,"PROB_Lake",48.9624338,-115.116608,"NLA06608-0065",7.594532
2007-06-12,"PA",665,NA,NA,7,NA,NA,"PROB_Lake",39.7685143,-79.38081778,"NLA06608-0066",8.9358501
2007-09-18,"PA",574,NA,NA,6,NA,NA,"PROB_Lake",39.7685143,-79.38081778,"NLA06608-0066",8.9358501
2007-07-09,"CO",168,NA,NA,1,NA,NA,"PROB_Lake",37.8244761,-107.8853911,"NLA06608-0068",9.1719403
2007-09-12,"CO",131,NA,NA,1,NA,NA,"PROB_Lake",37.8244761,-107.8853911,"NLA06608-0068",9.1719403
2007-07-18,"FL",420,NA,NA,39,NA,NA,"PROB_Lake",28.6373595,-81.13759704,"NLA06608-0069",2.0828908
2007-09-26,"FL",771,NA,NA,45,NA,NA,"PROB_Lake",28.6373595,-81.13759704,"NLA06608-0069",2.0828908
2007-09-06,"LA",2441,NA,NA,415,NA,NA,"PROB_Lake",31.6668399,-91.50916933,"NLA06608-0071",1.8550434
2007-09-08,"LA",2268,NA,NA,390,NA,NA,"PROB_Lake",31.6668399,-91.50916933,"NLA06608-0071",1.8550434
2007-07-26,"TX",1724,NA,NA,174,NA,NA,"PROB_Lake",32.2376622,-98.40515204,"NLA06608-0072",210.5049403
2007-08-15,"TX",2265,NA,NA,176,NA,NA,"PROB_Lake",32.2376622,-98.40515204,"NLA06608-0072",210.5049403
2007-06-12,"NV",1055,NA,NA,4679,NA,NA,"PROB_Lake",39.5247703,-118.878391,"NLA06608-0073",1.0366961
2007-07-18,"NV",1750,NA,NA,4865,NA,NA,"PROB_Lake",39.5247703,-118.878391,"NLA06608-0073",1.0366961
2007-07-27,"MO",436,NA,NA,24,NA,NA,"PROB_Lake",39.4144129,-94.49793062,"NLA06608-0076",5.8251172
2007-09-04,"MO",710,NA,NA,32,NA,NA,"PROB_Lake",39.4144129,-94.49793062,"NLA06608-0076",5.8251172
2007-09-08,"NJ",1461,NA,NA,116,NA,NA,"PROB_Lake",40.9270469,-74.53388264,"NLA06608-0077",47.7967401
2007-09-13,"NJ",1630,NA,NA,151,NA,NA,"PROB_Lake",40.9270469,-74.53388264,"NLA06608-0077",47.7967401
2007-08-08,"ND",4747,NA,NA,136,NA,NA,"PROB_Lake",48.1778112,-100.2942095,"NLA06608-0078",324.9301387
2007-08-21,"ND",4294,NA,NA,108,NA,NA,"PROB_Lake",48.1778112,-100.2942095,"NLA06608-0078",324.9301387
2007-07-12,"CO",97,NA,NA,4,NA,NA,"PROB_Lake",39.9858551,-107.2317809,"NLA06608-0079",10.0994059
2007-08-16,"CO",108,NA,NA,7,NA,NA,"PROB_Lake",39.9858551,-107.2317809,"NLA06608-0079",10.0994059
2007-09-09,"AR",956,NA,NA,100,NA,NA,"PROB_Lake",34.1200351,-91.56105203,"NLA06608-0080",31.3730904
2007-09-10,"AR",1047,NA,NA,113,NA,NA,"PROB_Lake",34.1200351,-91.56105203,"NLA06608-0080",31.3730904
2007-07-03,"WA",741,NA,NA,22,NA,NA,"PROB_Lake",48.2261203,-122.1241675,"NLA06608-0081",32.5493729
2007-09-19,"WA",826,NA,NA,23,NA,NA,"PROB_Lake",48.2261203,-122.1241675,"NLA06608-0081",32.5493729
2007-06-13,"ND",3925,NA,NA,50,NA,NA,"PROB_Lake",45.9509644,-99.13645049,"NLA06608-0083",54.0204397
2007-08-09,"ND",4009,NA,NA,60,NA,NA,"PROB_Lake",45.9509644,-99.13645049,"NLA06608-0083",54.0204397
2007-07-10,"ID",1581,NA,NA,417,NA,NA,"PROB_Lake",43.4604545,-116.1414317,"NLA06608-0085",9.2062365
2007-08-20,"ID",1518,NA,NA,395,NA,NA,"PROB_Lake",43.4604545,-116.1414317,"NLA06608-0085",9.2062365
2007-08-02,"WA",288,NA,NA,20,NA,NA,"PROB_Lake",45.6165707,-122.4260347,"NLA06608-0086",8.7410173
2007-09-20,"WA",865,NA,NA,32,NA,NA,"PROB_Lake",45.6165707,-122.4260347,"NLA06608-0086",8.7410173
2007-06-17,"NC",333,NA,NA,35,NA,NA,"PROB_Lake",35.7733743,-81.54174586,"NLA06608-0089",5.9391989
2007-07-17,"NC",478,NA,NA,32,NA,NA,"PROB_Lake",35.7733743,-81.54174586,"NLA06608-0089",5.9391989
2007-06-26,"WY",253,NA,NA,11,NA,NA,"PROB_Lake",42.9307547,-109.6534609,"NLA06608-0090",299.2804077
2007-07-25,"WY",350,NA,NA,15,NA,NA,"PROB_Lake",42.9307547,-109.6534609,"NLA06608-0090",299.2804077
2007-07-10,"IN",2021,NA,NA,170,NA,NA,"PROB_Lake",41.3694412,-87.43213825,"NLA06608-0091",7.3827799
2007-08-13,"IN",2411,NA,NA,164,NA,NA,"PROB_Lake",41.3694412,-87.43213825,"NLA06608-0091",7.3827799
2007-07-03,"WI",601,NA,NA,6,NA,NA,"PROB_Lake",43.0995159,-88.45255303,"NLA06608-0099",7.5279259
2007-09-05,"WI",623,NA,NA,11,NA,NA,"PROB_Lake",43.0995159,-88.45255303,"NLA06608-0099",7.5279259
2007-08-21,"CT",63,NA,NA,1,NA,NA,"PROB_Lake",42.0216797,-73.48227989,"NLA06608-0101",19.5774988
2007-08-03,"ME",137,NA,NA,1,NA,NA,"PROB_Lake",44.5071366,-70.72328312,"NLA06608-0102",61.8491507
2007-06-22,"KS",1076,NA,NA,102,NA,NA,"PROB_Lake",37.6552936,-98.26265148,"NLA06608-0104",3.7174558
2007-07-24,"KS",1101,NA,NA,90,NA,NA,"PROB_Lake",37.6552936,-98.26265148,"NLA06608-0104",3.7174558
2007-07-05,"UT",339,NA,NA,45,NA,NA,"PROB_Lake",38.2350209,-112.2015025,"NLA06608-0105",2.5002567
2007-09-12,"UT",433,NA,NA,134,NA,NA,"PROB_Lake",38.2350209,-112.2015025,"NLA06608-0105",2.5002567
2007-06-25,"IN",520,NA,NA,3,NA,NA,"PROB_Lake",41.6501612,-85.08175821,"NLA06608-0107",16.3988026
2007-07-31,"MN",491,NA,NA,12,NA,NA,"PROB_Lake",46.8697336,-95.72856324,"NLA06608-0110",116.1182748
2007-08-01,"OH",343,NA,NA,6,NA,NA,"PROB_Lake",41.1354055,-81.13692241,"NLA06608-0111",20.2770855
2007-07-09,"IL",1266,NA,NA,96,NA,NA,"PROB_Lake",39.0126611,-89.14408234,"NLA06608-0112",4.7065531
2007-07-16,"VT",190,NA,NA,9,NA,NA,"PROB_Lake",44.718642,-72.23412171,"NLA06608-0113",31.8272293
2007-07-18,"WI",540,NA,NA,5,NA,NA,"PROB_Lake",44.3235543,-89.19099056,"NLA06608-0115",724.8867084
2007-06-28,"NM",271,NA,NA,26,NA,NA,"PROB_Lake",35.6665392,-106.3013899,"NLA06608-0116",7.4615296
2007-06-18,"OK",1174,NA,NA,315,NA,NA,"PROB_Lake",36.1629298,-96.36834536,"NLA06608-0120",2.1514953
2007-09-26,"OK",1256,NA,NA,180,NA,NA,"PROB_Lake",36.1629298,-96.36834536,"NLA06608-0120",2.1514953
2007-07-19,"NE",340,NA,NA,213,NA,NA,"PROB_Lake",42.1400191,-101.8094915,"NLA06608-0124",10.2333803
2007-06-21,"ND",5728,NA,NA,502,NA,NA,"PROB_Lake",47.1930582,-99.32424356,"NLA06608-0126",81.7895212
2007-08-28,"ND",7019,NA,NA,609,NA,NA,"PROB_Lake",47.1930582,-99.32424356,"NLA06608-0126",81.7895212
2007-07-11,"AZ",641,NA,NA,19,NA,NA,"PROB_Lake",34.1536462,-109.3063643,"NLA06608-0127",3.1857616
2007-06-21,"MT",1356,NA,NA,76,NA,NA,"PROB_Lake",48.7528914,-109.2416928,"NLA06608-0128",8.2393469
2007-08-25,"MT",3956,NA,NA,480,NA,NA,"PROB_Lake",48.7528914,-109.2416928,"NLA06608-0128",8.2393469
2007-07-21,"MT",108,NA,NA,5,NA,NA,"PROB_Lake",48.2124098,-114.5994561,"NLA06608-0129",8.3624902
2007-09-16,"MT",150,NA,NA,1,NA,NA,"PROB_Lake",48.2124098,-114.5994561,"NLA06608-0129",8.3624902
2007-08-13,"AZ",2234,NA,NA,36,NA,NA,"PROB_Lake",31.4013844,-111.0870104,"NLA06608-0130",2.9549595
2007-08-28,"AZ",466,NA,NA,56,NA,NA,"PROB_Lake",36.2087192,-109.0936327,"NLA06608-0132",1.1763527
2007-07-24,"CT",156,NA,NA,4,NA,NA,"PROB_Lake",41.880003,-73.04056323,"NLA06608-0134",19.5774988
2007-09-17,"CA",82,NA,NA,3,NA,NA,"PROB_Lake",38.1485581,-119.3636363,"NLA06608-0137",4.6825239
2007-07-11,"IN",763,NA,NA,33,NA,NA,"PROB_Lake",41.1720516,-85.93794192,"NLA06608-0139",3.9994188
2007-06-20,"KS",1158,NA,NA,173,NA,NA,"PROB_Lake",39.639176,-95.45270584,"NLA06608-0140",20.6691119
2007-08-23,"DE",975,NA,NA,73,NA,NA,"PROB_Lake",39.4162269,-75.68870871,"NLA06608-0141",7.4108402
2007-08-13,"WI",293,NA,NA,7,NA,NA,"PROB_Lake",45.9979116,-89.54369029,"NLA06608-0142",64.9960344
2007-08-02,"TX",898,NA,NA,69,NA,NA,"PROB_Lake",33.3952512,-99.39138265,"NLA06608-0144",16.1327534
2007-09-13,"TX",751,NA,NA,68,NA,NA,"PROB_Lake",33.3952512,-99.39138265,"NLA06608-0144",16.1327534
2007-07-26,"IN",342,NA,NA,16,NA,NA,"PROB_Lake",39.3486051,-86.1080157,"NLA06608-0148",18.1577075
2007-07-18,"PA",220,NA,NA,12,NA,NA,"PROB_Lake",41.6334027,-76.84081042,"NLA06608-0149",57.5752892
2007-08-02,"ME",366,NA,NA,16,NA,NA,"PROB_Lake",44.8495598,-69.2311707,"NLA06608-0150",5.7858671
2007-07-17,"OK",521,NA,NA,21,NA,NA,"PROB_Lake",34.5944072,-97.68636485,"NLA06608-0152",3.8002126
2007-08-30,"VA",656,NA,NA,34,NA,NA,"PROB_Lake",37.2141836,-78.62538711,"NLA06608-0153",18.6834939
2007-07-31,"IL",1520,NA,NA,114,NA,NA,"PROB_Lake",42.3732885,-88.12714851,"NLA06608-0155",4.7065531
2007-09-05,"WI",651,NA,NA,16,NA,NA,"PROB_Lake",45.8810058,-91.24994528,"NLA06608-0158",64.9960344
2007-08-15,"FL",1069,NA,NA,30,NA,NA,"PROB_Lake",28.1024337,-82.72114525,"NLA06608-0161",2.0828908
2007-08-28,"NH",244,NA,NA,14,NA,NA,"PROB_Lake",42.7335669,-72.10321054,"NLA06608-0162",20.3121784
2007-07-23,"MN",15625,NA,NA,1184,NA,NA,"PROB_Lake",44.9419591,-94.03191284,"NLA06608-0167",5.660085
2007-08-29,"MN",14450,NA,NA,1061,NA,NA,"PROB_Lake",44.9419591,-94.03191284,"NLA06608-0167",5.660085
2007-06-13,"KS",866,NA,NA,61,NA,NA,"PROB_Lake",37.7582231,-94.85392322,"NLA06608-0168",20.6691119
2007-07-05,"UT",353,NA,NA,33,NA,NA,"PROB_Lake",38.5172543,-111.5318192,"NLA06608-0169",4.5185203
2007-09-13,"UT",726,NA,NA,95,NA,NA,"PROB_Lake",38.5172543,-111.5318192,"NLA06608-0169",4.5185203
2007-09-21,"MI",780,NA,NA,8,NA,NA,"PROB_Lake",43.9911006,-86.10688883,"NLA06608-0170",30.1241115
2007-07-11,"CA",2218,NA,NA,57,NA,NA,"PROB_Lake",33.0733313,-115.5092281,"NLA06608-0173",56.5809445
2007-07-25,"MN",1002,NA,NA,19,NA,NA,"PROB_Lake",46.2521236,-96.0363618,"NLA06608-0174",105.454706
