"","policy","nutreint_type","variable","value"
"167","319","Lake TN","new_value",0.00280294612290121
"168","criteria","Lake TN","new_value",-3.28650417975376
"169","tmdl","Lake TN","new_value",81.3974422583176
"170","319","Lake TN","new_value",0.01109584395749
"171","criteria","Lake TN","new_value",-3.72049393234179
"172","tmdl","Lake TN","new_value",8.89650334136622
"173","319","Lake TN","new_value",0.00739567360491332
"174","criteria","Lake TN","new_value",7.05617786993544
"175","tmdl","Lake TN","new_value",-45.6382848822297
"176","319","Lake TN","new_value",0.00215179289952713
"177","criteria","Lake TN","new_value",0.0711318315790076
"178","tmdl","Lake TN","new_value",144.837221249097
"179","319","Lake TN","new_value",0.00107632101402498
"180","criteria","Lake TN","new_value",-9.65613008886076
"181","tmdl","Lake TN","new_value",58.1312019769188
"182","319","Lake TN","new_value",0.00314135714434391
"183","criteria","Lake TN","new_value",7.84013758640007
"184","tmdl","Lake TN","new_value",84.1730525212447
"185","319","Lake TN","new_value",-0.00201416470516059
"186","criteria","Lake TN","new_value",3.61255608614195
"187","tmdl","Lake TN","new_value",-47.2364302623736
"188","319","Lake TN","new_value",-0.00437870319790646
"189","criteria","Lake TN","new_value",-4.35009811170017
"190","tmdl","Lake TN","new_value",61.2504368881936
"191","319","Lake TN","new_value",0.00201135749531111
"192","criteria","Lake TN","new_value",4.47566110586419
"193","tmdl","Lake TN","new_value",-0.323619655581263
"194","319","Lake TN","new_value",-0.00977609266594153
"195","criteria","Lake TN","new_value",5.43829480739272
"196","tmdl","Lake TN","new_value",69.3327093854047
"197","319","Lake TN","new_value",0.00671066076209357
"198","criteria","Lake TN","new_value",8.53094973026694
"199","tmdl","Lake TN","new_value",-66.7386969681429
"200","319","Lake TN","new_value",-0.00933949122125465
"201","criteria","Lake TN","new_value",9.02808504999518
"202","tmdl","Lake TN","new_value",-12.2298142063632
"203","319","Lake TN","new_value",-0.00360606099447671
"204","criteria","Lake TN","new_value",4.98555614494043
"205","tmdl","Lake TN","new_value",21.466860625338
"206","319","Lake TN","new_value",-0.00955100155607407
"207","criteria","Lake TN","new_value",15.9547136490334
"208","tmdl","Lake TN","new_value",18.4510647871647
"209","319","Lake TN","new_value",-0.000937387442015998
"210","criteria","Lake TN","new_value",-0.534617060384583
"211","tmdl","Lake TN","new_value",76.578556705433
"212","319","Lake TN","new_value",0.00581769041270301
"213","criteria","Lake TN","new_value",3.43645026271017
"214","tmdl","Lake TN","new_value",-65.2187427834792
"215","319","Lake TN","new_value",-0.000880904481373651
"216","criteria","Lake TN","new_value",2.42686906796548
"217","tmdl","Lake TN","new_value",17.6630984928567
"218","319","Lake TN","new_value",0.0018515371068914
"219","criteria","Lake TN","new_value",2.7446185343624
"220","tmdl","Lake TN","new_value",-17.1410577578218
"221","319","Lake TN","new_value",0.00445803396876159
"222","criteria","Lake TN","new_value",-2.75846157204295
"223","tmdl","Lake TN","new_value",20.3413054316894
"224","319","Lake TN","new_value",0.00257903113731402
"225","criteria","Lake TN","new_value",-0.070443062246607
"226","tmdl","Lake TN","new_value",-78.336709956164
"227","319","Lake TN","new_value",-0.0174971732745716
"228","criteria","Lake TN","new_value",-1.05405998420957
"229","tmdl","Lake TN","new_value",60.1398754171049
"230","319","Lake TN","new_value",-0.00147930798409316
"231","criteria","Lake TN","new_value",4.66588465748869
"232","tmdl","Lake TN","new_value",3.17473601337609
"233","319","Lake TN","new_value",-0.0114155501202228
"234","criteria","Lake TN","new_value",9.07277344910587
"235","tmdl","Lake TN","new_value",-30.7988165542695
"236","319","Lake TN","new_value",-0.0022951255016752
"237","criteria","Lake TN","new_value",11.1380264019408
"238","tmdl","Lake TN","new_value",36.9585318352547
"239","319","Lake TN","new_value",-0.0126255898709284
"240","criteria","Lake TN","new_value",1.90680559469341
"241","tmdl","Lake TN","new_value",-69.6462870876999
"242","319","Lake TN","new_value",-0.0178928905887678
"243","criteria","Lake TN","new_value",-8.79815937159065
"244","tmdl","Lake TN","new_value",-27.0033696831038
"245","319","Lake TN","new_value",-0.000824780436893011
"246","criteria","Lake TN","new_value",0.671296300139961
"247","tmdl","Lake TN","new_value",-8.43546997441555
"248","319","Lake TN","new_value",0.00396226146723612
"249","criteria","Lake TN","new_value",-0.489281260665186
"250","tmdl","Lake TN","new_value",-10.3417696178152
"251","319","Lake TN","new_value",-0.0136052944330077
"252","criteria","Lake TN","new_value",-8.74051161247495
"253","tmdl","Lake TN","new_value",47.8411382312634
"254","319","Lake TN","new_value",-0.000327623187020891
"255","criteria","Lake TN","new_value",-1.20676166053576
"256","tmdl","Lake TN","new_value",110.404037692666
"257","319","Lake TN","new_value",0.000850422140623248
"258","criteria","Lake TN","new_value",6.1326721230988
"259","tmdl","Lake TN","new_value",-103.456841876551
"260","319","Lake TN","new_value",-0.0157755852118
