"","policy","nutrient_type","variable","value"
"462","criteria","Lake TN","new_coef",-1.71866589528729
"463","tmdl","Lake TN","new_coef",-5.05233009861507
"464","319","Lake TN","new_coef",-15.8167792822045
"465","criteria","Lake TN","new_coef",5.87070891402037
"466","tmdl","Lake TN","new_coef",-4.07498523376873
"467","319","Lake TN","new_coef",-1.23939433766095
"468","criteria","Lake TN","new_coef",5.15947405827439
"469","tmdl","Lake TN","new_coef",2.49801973473924
"470","319","Lake TN","new_coef",5.36994622074629
"471","criteria","Lake TN","new_coef",-2.06094597353094
"472","tmdl","Lake TN","new_coef",4.80132417345787
"473","319","Lake TN","new_coef",2.02102676960222
"474","criteria","Lake TN","new_coef",-2.03093632335076
"475","tmdl","Lake TN","new_coef",-1.14716166487312
"476","319","Lake TN","new_coef",-4.4466335979033
"477","criteria","Lake TN","new_coef",0.412005734753635
"478","tmdl","Lake TN","new_coef",-0.395221747399255
"479","319","Lake TN","new_coef",-4.71939497131357
"480","criteria","Lake TN","new_coef",6.51858752834391
"481","tmdl","Lake TN","new_coef",-0.946482915375337
"482","319","Lake TN","new_coef",-1.69295391237526
"483","criteria","Lake TN","new_coef",-4.93668317008968
"484","tmdl","Lake TN","new_coef",0.245731879785255
"485","319","Lake TN","new_coef",-1.34639303487827
"486","criteria","Lake TN","new_coef",0.0557118502774243
"487","tmdl","Lake TN","new_coef",-0.73399731391055
"488","319","Lake TN","new_coef",-3.58121173051097
"489","criteria","Lake TN","new_coef",9.03641740351586
"490","tmdl","Lake TN","new_coef",1.81924210940982
"491","319","Lake TN","new_coef",-1.09173926324793
"492","criteria","Lake TN","new_coef",1.49879423869743
"493","tmdl","Lake TN","new_coef",-2.55137450709153
"494","319","Lake TN","new_coef",2.60223310361831
"495","criteria","Lake TN","new_coef",-2.24267165970931
"496","tmdl","Lake TN","new_coef",-6.82581950481273
"497","319","Lake TN","new_coef",-1.22705531086061
"498","criteria","Lake TN","new_coef",3.20852727568299
"499","tmdl","Lake TN","new_coef",0.0306442351540877
"500","319","Lake TN","new_coef",-2.80557734593989
"501","criteria","Lake TN","new_coef",1.65994887660476
"502","tmdl","Lake TN","new_coef",2.22840100232623
"503","319","Lake TN","new_coef",-5.165144838665
"504","criteria","Lake TN","new_coef",5.24751897957417
"505","tmdl","Lake TN","new_coef",-0.0510480107818975
"506","319","Lake TN","new_coef",1.86040197959145
"507","criteria","Lake TN","new_coef",7.77028546071315
"508","tmdl","Lake TN","new_coef",-9.72664113226494
"509","319","Lake TN","new_coef",-2.59441153860182
"510","criteria","Lake TN","new_coef",13.0042554693579
"511","tmdl","Lake TN","new_coef",0.277533450534458
"512","319","Lake TN","new_coef",-0.0111827552723147
"513","criteria","Lake TN","new_coef",11.6781142860254
"514","tmdl","Lake TN","new_coef",2.55235628494123
"515","319","Lake TN","new_coef",2.74497610891116
"516","criteria","Lake TN","new_coef",-6.06575798515555
"517","tmdl","Lake TN","new_coef",-1.24092012306032
"518","319","Lake TN","new_coef",2.07709751882479
"519","criteria","Lake TN","new_coef",2.08949604738347
"520","tmdl","Lake TN","new_coef",-1.51380140241238
"521","319","Lake TN","new_coef",1.91522044178398
"522","criteria","Lake TN","new_coef",-5.79438055435637
"523","tmdl","Lake TN","new_coef",-2.24054950623749
"524","319","Lake TN","new_coef",-2.11043454963355
"525","criteria","Lake TN","new_coef",7.92000091158743
"526","tmdl","Lake TN","new_coef",-1.05070114833009
"527","319","Lake TN","new_coef",-7.37669301269296
"528","criteria","Lake TN","new_coef",17.1759402553312
"529","tmdl","Lake TN","new_coef",0.217363006892613
"530","319","Lake TN","new_coef",-6.76416740844353
"531","criteria","Lake TN","new_coef",-2.67834890176286
