"state","site","date","nh4","nh4.flag","no3","no3.flag","tp","tp.flag","tn","tn.flag","site.type","order","weight","lat","lon","nh4_bdl_flag","no3_bdl_flag","tn_bdl_flag","tp_bdl_flag"
"CO","NRS18_CO_10068",2018-07-19,5,"",2.8,"",5.486,"",98,"","PROB",3,440.5584955,39.42575934,-106.4124235,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10374",2018-07-17,6,"",0.2,"NDMDL (0.0002)",85.68,"",331,"","PROB",0,104.2745353,39.28594399,-108.8335784,FALSE,TRUE,FALSE,FALSE
"UT","NRS18_UT_10044",2018-07-20,59,"",194.6,"",319.055,"",1135,"","PROB",1,719.6947249,41.70397345,-111.9194458,FALSE,FALSE,FALSE,FALSE
"NV","NRS18_NV_10006",2018-07-19,6,"",4.7,"",135.643,"",293,"","PROB",7,63.06060423,41.00564807,-117.3393376,FALSE,FALSE,FALSE,FALSE
"TN","NRS18_TN_10011",2018-07-20,146,"",348.5,"",235.373,"",1390,"","PROB",2,2518.50406,35.07117788,-89.85614426,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10046",2018-07-20,360,"",63.7,"",132.268,"",1150,"","PROB",1,1368.744222,35.86551219,-90.84473388,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10022",2018-07-19,17,"",94,"",50.301,"",428,"","PROB",4,660.7796955,36.35540034,-90.95286554,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10019",2018-08-06,60,"",151.8,"",129.721,"",576,"","PROB",4,619.9448468,37.95013209,-89.42697576,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10002",2018-07-20,24,"",969.4,"",218.225,"",1485,"","PROB",6,68.52126026,38.86531332,-108.398139,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10024",2018-07-22,43,"",103.2,"",149.829,"",414,"","PROB",5,304.5289442,36.42940821,-90.75765669,FALSE,FALSE,FALSE,FALSE
"MA","NRS18_MA_10185",2018-07-22,290,"",219.5,"",349.934,"",1591,"","PROB",1,499.4762419,42.01910761,-70.97145746,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10026",2018-07-22,342,"",0.2,"NDMDL (0.0002)",198.769,"",1153,"","PROB",1,171.3808728,37.09630937,-89.2934125,FALSE,TRUE,FALSE,FALSE
"AR","NRS18_AR_10489",2018-07-22,7,"",75,"",18.48,"",209,"","PROB",4,660.7796955,35.52203628,-94.07139992,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10013",2018-07-18,8,"",4.9,"",42.999,"",239,"","PROB",3,440.5584955,39.16391811,-107.8062132,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10016",2018-07-22,69,"",982.1,"",144.248,"",2119,"","PROB",2,102.3779257,39.8866702,-104.9310797,FALSE,FALSE,FALSE,FALSE
"SC","NRS18_SC_10008",2018-07-22,87,"",324.8,"",33.163,"",561,"","PROB",6,64.09076598,34.93019355,-80.86839803,FALSE,FALSE,FALSE,FALSE
"ND","NRS18_ND_10075",2018-07-23,32,"",0.2,"NDMDL (0.0002)",86.018,"",1653,"","PROB",2,63.24304305,46.82413865,-102.5020916,FALSE,TRUE,FALSE,FALSE
"ID","NRS18_ID_10003",2018-07-23,10,"",15.5,"",14.07,"",73,"","PROB",2,247.4880978,42.46121103,-111.9125695,FALSE,FALSE,FALSE,FALSE
"UT","NRS18_UT_10046",2018-07-23,7,"",281,"",40.584,"",334,"","PROB",1,638.4580328,40.76209104,-111.1798205,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10021",2018-07-23,41,"",340,"",130.44,"",769,"","PROB",4,850.7640068,36.43411563,-90.34879978,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10053",2018-07-23,74,"",20.1,"",88.569,"",434,"","PROB",3,440.5584955,39.54923086,-105.1317434,FALSE,FALSE,FALSE,FALSE
"AR","NRS18_AR_10027",2018-07-23,14,"",401.3,"",50.651,"",971,"","PROB",5,215.1246255,36.08893257,-94.02749288,FALSE,FALSE,FALSE,FALSE
"MS","NRS18_MS_10014",2018-07-22,64,"",6.7,"",95.973,"",374,"","PROB",3,1775.056818,33.37181685,-88.99623441,FALSE,FALSE,FALSE,FALSE
"RI","NRS18_RI_10004",2018-07-23,13,"",143.9,"",14.134,"",276,"","PROB",4,19.00158477,41.50653938,-71.71228802,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10071",2018-07-23,9,"",3.9,"",43.119,"",406,"","PROB",6,68.52126026,39.07383476,-108.4197432,FALSE,FALSE,FALSE,FALSE
"OR","NRS18_OR_10020",2018-07-23,10,"",4.8,"",29.294,"",228,"","PROB",4,890.7728393,45.26280222,-118.3998338,FALSE,FALSE,FALSE,FALSE
"KS","NRS18_KS_10091",2018-07-23,67,"",1589.4,"",183.094,"",2481,"","PROB",0,154.5116594,37.6917153,-97.77541382,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10001",2018-07-23,29,"",197.1,"",69.469,"",741,"","PROB",2,1121.724342,39.410459,-89.13140441,FALSE,FALSE,FALSE,FALSE
"NE","NRS18_NE_10038",2018-07-24,81,"",709.1,"",966.081,"HH",1920,"","PROB",5,57.86505885,40.05134597,-99.76749823,FALSE,FALSE,FALSE,FALSE
"CO","NRS18_CO_10063",2018-07-24,21,"",27.3,"",70.84,"",530,"","PROB",0,102.3779257,40.41411047,-104.9936989,FALSE,FALSE,FALSE,FALSE
"GA","NRS18_GA_10027",2018-07-24,29,"",166.8,"",27.253,"",459,"","PROB",5,147.9074266,33.60959357,-82.21193048,FALSE,FALSE,FALSE,FALSE
"RI","NRS18_RI_10009",2018-07-24,16,"",693.3,"",85.973,"",875,"","PROB",5,19.95379195,41.40064885,-71.73109982,FALSE,FALSE,FALSE,FALSE
"MS","NRS18_MS_10009",2018-07-24,6,"",56.9,"",19.878,"",136,"","PROB",3,1775.056818,31.58623249,-90.8103525,FALSE,FALSE,FALSE,FALSE
"TX","NRS18_TX_10038",2018-07-24,8,"",153.9,"",8.025,"",343,"","PROB",4,210.0952472,29.86857475,-98.18765891,FALSE,FALSE,FALSE,FALSE
"VT","NRS18_VT_10184",2018-07-24,4,"LEST",199,"",5.243,"",360,"","PROB",3,185.1737083,43.51047318,-73.24101049,FALSE,FALSE,FALSE,FALSE
"IL","NRS18_IL_10004",2018-07-24,44,"",756,"",95.728,"",1214,"","PROB",4,619.9448468,39.21621916,-89.02055726,FALSE,FALSE,FALSE,FALSE
"SD","NRS18_SD_10023",2018-07-24,29,"",0.2,"NDMDL (0.0002)",555.004,"",1766,"","PROB",5,71.88881179,43.96688244,-98.98077838,FALSE,TRUE,FALSE,FALSE
"AR","NRS18_AR_10007",2018-07-24,10,"",27.2,"",8.88,"",149,"","PROB",5,215.1246255,35.67817479,-93.74408948,FALSE,FALSE,FALSE,FALSE
"CA","NRS18_CA_10389",2018-07-24,5,"",10.8,"",13.313,"",63,"","PROB",3,942.865782,38.3213139,-119.6740704,FALSE,FALSE,FALSE,FALSE
"VT","NRS18_VT_10008",2018-07-25,6,"",45.5,"",7.629,"",135,"","PROB",1,450.2132889,43.23836778,-73.24959885,FALSE,FALSE,FALSE,FALSE
"ID","NRS18_ID_10842",2018-07-25,6,"",0.2,"NDMDL (0.0002)",62.613,"",590,"","PROB",5,116.1429018,42.87994749,-112.4731285,FALSE,TRUE,FALSE,FALSE
"ND","NRS18_ND_10019",2018-07-25,19,"",0.2,"NDMDL (0.0002)",173.533,"",1329,"","PROB",5,67.51871331,46.50370263,-102.7530186,FALSE,TRUE,FALSE,FALSE
